March 9  ¿ΩÁµÿÕº
 0  0  0  0  0  0  0  0  0  0
311  1  1 8421504  1 65535 000  000
 110.372   20.055
 110.379   20.064
 110.386   20.046
 110.390   20.039
 110.388   20.071
 110.417   20.061
 110.405   20.042
 110.425   20.049
 110.432   20.032
 110.442   20.039
 110.426   20.057
 110.499   20.017
 110.545   20.020
 110.536   20.001
 110.545   19.968
 110.589   19.998
 110.583   19.957
 110.563   19.949
 110.591   19.947
 110.603   19.890
 110.643   19.912
 110.623   19.966
 110.611   20.001
 110.601   20.010
 110.627   20.029
 110.578   20.028
 110.573   20.093
 110.596   20.108
 110.634   20.102
 110.688   20.165
 110.734   20.053
 110.763   20.047
 110.779   20.014
 110.827   20.001
 110.840   19.994
 110.905   20.001
 110.929   20.016
 110.941   20.001
 110.975   19.907
 110.979   19.896
 110.982   19.884
 111.003   19.753
 111.003   19.678
 111.029   19.683
 111.041   19.636
 110.990   19.644
 110.924   19.587
 110.866   19.525
 110.834   19.555
 110.843   19.563
 110.826   19.596
 110.882   19.603
 110.903   19.648
 110.872   19.625
 110.807   19.630
 110.765   19.630
 110.761   19.623
 110.776   19.618
 110.834   19.546
 110.807   19.524
 110.796   19.481
 110.755   19.460
 110.735   19.426
 110.733   19.408
 110.704   19.413
 110.677   19.392
 110.669   19.355
 110.680   19.328
 110.640   19.309
 110.627   19.246
 110.600   19.241
 110.602   19.226
 110.585   19.223
 110.597   19.216
 110.618   19.231
 110.583   19.158
 110.521   19.152
 110.509   19.144
 110.522   19.132
 110.551   19.148
 110.551   19.109
 110.553   19.099
 110.579   19.145
 110.570   19.086
 110.565   19.050
 110.525   19.018
 110.517   18.890
 110.502   18.897
 110.488   18.891
 110.462   18.876
 110.470   18.852
 110.457   18.841
 110.433   18.836
 110.453   18.804
 110.492   18.791
 110.512   18.803
 110.493   18.853
 110.509   18.882
 110.538   18.783
 110.522   18.792
 110.491   18.768
 110.465   18.770
 110.416   18.663
 110.395   18.678
 110.358   18.663
 110.341   18.670
 110.405   18.696
 110.415   18.684
 110.417   18.715
 110.396   18.712
 110.391   18.697
 110.352   18.692
 110.320   18.665
 110.272   18.663
 110.216   18.633
 110.180   18.591
 110.105   18.530
 110.074   18.492
 110.088   18.490
 110.068   18.411
 110.054   18.447
 110.029   18.407
 110.058   18.405
 110.052   18.384
 109.967   18.386
 109.962   18.407
 110.002   18.395
 110.030   18.427
 110.015   18.457
 110.017   18.434
 109.980   18.433
 109.966   18.413
 109.873   18.403
 109.842   18.383
 109.816   18.387
 109.784   18.401
 109.751   18.397
 109.717   18.285
 109.710   18.295
 109.692   18.280
 109.676   18.278
 109.681   18.257
 109.698   18.278
 109.704   18.261
 109.741   18.250
 109.728   18.212
 109.702   18.215
 109.709   18.196
 109.687   18.205
 109.677   18.237
 109.612   18.212
 109.618   18.170
 109.583   18.179
 109.558   18.166
 109.571   18.206
 109.542   18.220
 109.568   18.236
 109.570   18.258
 109.531   18.229
 109.538   18.206
 109.515   18.221
 109.481   18.184
 109.467   18.208
 109.494   18.234
 109.483   18.261
 109.437   18.289
 109.366   18.286
 109.286   18.303
 109.178   18.286
 109.145   18.300
 109.133   18.355
 109.068   18.372
 108.992   18.352
 108.976   18.380
 108.938   18.406
 108.954   18.409
 108.877   18.423
 108.850   18.439
 108.892   18.431
 108.863   18.440
 108.849   18.451
 108.759   18.493
 108.686   18.507
 108.671   18.547
 108.683   18.578
 108.698   18.643
 108.700   18.677
 108.697   18.718
 108.688   18.755
 108.656   18.816
 108.624   18.829
 108.639   18.861
 108.656   18.909
 108.653   18.976
 108.616   19.084
 108.631   19.078
 108.612   19.099
 108.662   19.149
 108.680   19.148
 108.677   19.185
 108.637   19.222
 108.623   19.209
 108.634   19.299
 108.635   19.281
 108.658   19.286
 108.671   19.280
 108.656   19.294
 108.679   19.283
 108.658   19.318
 108.681   19.313
 108.661   19.347
 108.681   19.370
 108.743   19.376
 108.925   19.512
 108.938   19.483
 108.944   19.493
 108.937   19.505
 108.954   19.512
 108.938   19.517
 109.009   19.584
 109.055   19.599
 109.146   19.640
 109.208   19.683
 109.209   19.722
 109.225   19.711
 109.272   19.725
 109.303   19.685
 109.312   19.709
 109.274   19.740
 109.309   19.759
 109.311   19.767
 109.276   19.793
 109.266   19.762
 109.259   19.774
 109.232   19.764
 109.208   19.730
 109.173   19.721
 109.163   19.766
 109.165   19.795
 109.206   19.822
 109.218   19.855
 109.235   19.846
 109.259   19.895
 109.287   19.892
 109.296   19.914
 109.325   19.909
 109.319   19.885
 109.361   19.890
 109.377   19.877
 109.382   19.890
 109.411   19.857
 109.455   19.873
 109.469   19.826
 109.532   19.865
 109.538   19.863
